Airline Name,Delayed Flight Count,Delayed Flight Percentage
Alaska Airlines Inc.,1950,12.23567798
Allegiant Air,1939,20.90340664
American Airlines Inc.,11200,14.3207856
Delta Air Lines Inc.,9634,11.84047195
Endeavor Air Inc.,3582,16.83903723
Envoy Air,3152,13.30800084
ExpressJet Airlines Inc.,3404,16.1971831
Frontier Airlines Inc.,1830,19.5137556
Hawaiian Airlines Inc.,961,13.98631931
JetBlue Airways,7728,29.16226415
Mesa Airlines Inc.,2003,12.46034215
PSA Airlines Inc.,4444,19.07705516
Republic Airline,3904,14.49792038
SkyWest Airlines Inc.,10372,16.05647321
Southwest Airlines Co.,22257,19.11784917
Spirit Air Lines,1939,13.06515733
United Air Lines Inc.,6803,13.66064257
Virgin America,1642,25.16860822
