Airport,# of delayed flights,% of delayed flights
SUN,14,10.85271318
JAN,59,9.516129032
SAT,519,15.67028986
ABE,60,16.21621622
ABI,29,20
ABQ,366,19.35483871
ABR,4,6.451612903
ABY,11,12.5
ACT,15,12.60504202
ACV,16,17.20430108
ACY,52,16.77419355
ADK,3,33.33333333
ADQ,4,7.547169811
AEX,44,15.01706485
AGS,70,16.70644391
ALB,243,20.21630616
ALO,5,8.771929825
AMA,65,15.73849879
ANC,195,14.73922902
APN,7,13.20754717
ASE,203,18.98971001
ATL,4109,12.19468764
ATW,44,12.25626741
AUS,822,15.94877765
AVL,98,17.65765766
AVP,54,19.56521739
AZA,137,22.31270358
AZO,29,12.7753304
BDL,453,18.85143571
BET,7,9.589041096
BFF,9,17.30769231
BFL,25,13.88888889
BGM,17,19.76744186
BGR,66,19.35483871
BHM,245,16.50943396
BIL,43,12.53644315
BIS,43,13.82636656
BJI,4,6.451612903
BLI,27,9.89010989
BLV,24,26.37362637
BMI,43,16.73151751
BNA,864,14.14075286
BOI,229,13.99755501
BOS,2353,19.19093059
BPT,8,12.90322581
BQK,16,18.18181818
BQN,39,26.89655172
BRD,6,11.32075472
BRO,18,8.372093023
BRW,4,6.451612903
BTM,5,8.771929825
BTR,83,12.71056662
BTV,153,21.33891213
BUF,383,17.10585083
BUR,461,20.8032491
BWI,1134,12.56092158
BZN,54,10.34482759
CAE,66,13.44195519
CAK,152,23.89937107
CDC,12,22.64150943
CDV,8,12.90322581
CGI,7,13.46153846
CHA,116,17.26190476
CHO,84,16.31067961
CHS,285,14.96062992
CID,114,14.19676214
CIU,6,10.52631579
CKB,18,27.27272727
CLE,669,16.07400288
CLL,20,9.708737864
CLT,2750,14.09533573
CMH,631,15.68481233
CMI,18,8.823529412
CMX,10,16.12903226
COD,16,17.20430108
COS,128,15.36614646
COU,14,7.608695652
CPR,4,6.25
CRP,70,15.05376344
CRW,62,15.38461538
CSG,18,15.25423729
CVG,633,15.27509653
CWA,32,12.30769231
DAB,43,12.95180723
DAL,1087,17.72957103
DAY,190,16.68129939
DBQ,7,7.954545455
DCA,1799,15.92317224
DEN,2797,14.62024986
DFW,2887,12.408665
DHN,22,18.48739496
DLH,29,12.08333333
DRO,36,15.85903084
DSM,193,14.62121212
DTW,1826,13.23188406
DVL,6,11.32075472
EAU,7,11.29032258
ECP,48,11.45584726
EGE,79,17.95454545
EKO,4,7.01754386
ELM,8,22.22222222
ELP,219,16.96359411
ERI,14,15.90909091
ESC,5,9.433962264
EUG,61,17.73255814
EVV,48,13.15068493
EWN,29,15.93406593
EWR,3140,25.62637721
EYW,64,12.0754717
FAI,43,12.5
FAR,69,12.47739602
FAT,124,16.06217617
FAY,59,19.79865772
FCA,19,13.76811594
FLG,13,13.97849462
FLL,1616,17.38943291
FLO,9,29.03225806
FNT,45,11.56812339
FSD,67,13.81443299
FSM,31,18.12865497
FWA,113,17.87974684
GCC,7,8.75
GCK,4,6.451612903
GEG,139,14.55497382
GFK,24,13.55932203
GGG,5,8.771929825
GJT,16,5.776173285
GNV,61,16.18037135
GPT,57,17.01492537
GRB,45,10.81730769
GRI,9,12
GRK,21,9.333333333
GRR,232,14.91002571
GSO,170,16.69941061
GSP,155,17.41573034
GTF,16,11.5942029
GTR,16,18.18181818
GUC,7,14.28571429
GUM,20,64.51612903
HDN,41,16.33466135
HGR,4,44.44444444
HIB,3,5.660377358
HLN,11,7.586206897
HNL,657,15.87339937
HOB,7,12.28070175
HOU,954,19.60945529
HPN,201,24.9689441
HRL,43,13.47962382
HSV,106,14.9506347
HTS,4,13.79310345
HVN,12,13.63636364
HYS,4,7.547169811
IAD,621,11.43646409
IAG,18,16.21621622
IAH,1662,11.27238199
ICT,106,12.57413998
IDA,22,10.83743842
ILM,93,18.1640625
IMT,3,5.263157895
IND,581,13.78737542
INL,7,12.96296296
ISN,15,14.28571429
ISP,118,20.03395586
ITH,21,23.86363636
ITO,68,11.97183099
JAC,58,14.87179487
JAX,380,15.65718995
JFK,1825,16.89814815
JLN,8,12.30769231
JMS,7,8.333333333
JNU,36,11.00917431
KOA,187,14.63223787
KTN,15,8.241758242
LAN,44,12.42937853
LAR,5,9.433962264
LAS,2478,18.18582122
LAW,13,11.20689655
LAX,4362,23.47054076
LBB,87,16.08133087
LBE,18,14.75409836
LBF,10,19.23076923
LBL,7,13.46153846
LCH,11,7.333333333
LCK,27,22.5
LEX,133,17.82841823
LFT,31,7.989690722
LGA,2966,20.15630309
LGB,451,29.36197917
LIH,150,12.33552632
LIT,140,12.35657546
LNK,23,15.97222222
LRD,31,14.41860465
LSE,22,12.15469613
LWS,7,12.72727273
LYH,19,21.11111111
MAF,94,12.40105541
MBS,34,13.12741313
MCI,718,15.13490725
MCO,2246,17.37314356
MDT,57,11.22047244
MDW,1064,14.51766953
MEI,14,15.05376344
MEM,314,16.43118786
MFE,50,14.20454545
MFR,48,18.11320755
MGM,74,20.78651685
MHK,19,12.58278146
MHT,178,18.5031185
MIA,983,12.39127694
MKE,424,13.63344051
MKG,5,8.064516129
MLB,47,17.66917293
MLI,69,15.71753986
MLU,31,13.13559322
MMH,6,19.35483871
MOB,77,14.02550091
MOT,15,7.692307692
MQT,14,11.86440678
MRY,46,16.4874552
MSN,138,13.42412451
MSO,21,12.4260355
MSP,1798,13.23226376
MSY,766,15.18636003
MTJ,28,13.79310345
MYR,113,14.58064516
OAJ,60,21.73913043
OAK,996,24.16889105
OGD,1,9.090909091
OGG,318,14.26008969
OGS,1,5.555555556
OKC,264,14.37908497
OMA,304,15.07936508
OME,11,17.74193548
ONT,336,19.61471103
ORD,3514,13.1448023
ORF,301,17.26907631
ORH,15,24.19354839
OTH,11,39.28571429
OTZ,3,4.838709677
OWB,1,11.11111111
PAH,8,12.90322581
PBG,18,16.36363636
PBI,592,21.2034384
PDX,717,13.94670298
PGD,125,20.19386107
PHF,48,19.51219512
PHL,1362,14.07024793
PHX,2581,16.06298233
PIA,71,15.43478261
PIB,11,17.74193548
PIE,132,17.16514954
PIH,11,9.322033898
PIT,612,14.86880466
PLN,8,10.52631579
PNS,97,11.02272727
PPG,1,11.11111111
PSC,35,11.36363636
PSE,23,37.09677419
PSG,5,8.064516129
PSM,5,13.88888889
PSP,226,17.67005473
PUB,14,17.5
PVD,257,16.98612029
PVU,8,16.32653061
PWM,155,18.97184823
RAP,54,18.94736842
RDD,10,10.98901099
RDM,41,14.80144404
RDU,888,18.4577011
RFD,12,13.33333333
RHI,3,4.838709677
RIC,407,19.78609626
RKS,5,8.771929825
RNO,340,22.8956229
ROA,49,19.36758893
ROC,191,16.20016964
ROW,17,14.28571429
RST,50,19.30501931
RSW,705,15.52179657
SAF,13,10.48387097
SAN,1489,19.96781548
SAV,158,12.257564
SBA,95,15.88628763
SBN,94,17.12204007
SBP,70,19.60784314
SCC,8,10.38961039
SCE,21,23.86363636
SCK,33,49.25373134
SDF,273,15.59109081
SEA,1568,14.05017921
SFB,315,30.76171875
SFO,4060,27.57964812
SGF,87,12.10013908
SGU,37,13.50364964
SHV,91,15.85365854
SIT,9,10.22727273
SJC,837,19.87651389
SJT,14,11.76470588
SJU,442,21.68792934
SLC,1518,15.40022319
SMF,716,19.05775885
SMX,1,7.692307692
SNA,593,17.23336239
SPI,24,14.81481481
SPS,8,8.602150538
SRQ,80,13.05057096
STC,3,11.11111111
STL,834,14.59062281
STS,11,11.82795699
STT,35,19.23076923
STX,20,17.85714286
SUX,8,8.791208791
SWF,43,28.66666667
SWO,8,14.03508772
SYR,214,19.09009813
TLH,81,15.05576208
TOL,44,22.11055276
TPA,1129,15.41086541
TRI,42,13.95348837
TTN,31,18.23529412
TUL,259,18.31683168
TUS,355,20.37887486
TVC,33,13.25301205
TWF,13,11.01694915
TXK,11,12.5
TYR,17,14.28571429
TYS,224,17.96311147
UIN,16,20.25316456
USA,17,20.23809524
VLD,13,14.77272727
VPS,87,14.94845361
WRG,5,8.064516129
XNA,171,16.14730878
YAK,8,12.90322581
YUM,8,6.451612903
