Airport,# of delayed flights
LAX,4362
ATL,4109
SFO,4060
ORD,3514
EWR,3140
LGA,2966
DFW,2887
DEN,2797
CLT,2750
PHX,2581
LAS,2478
BOS,2353
MCO,2246
DTW,1826
JFK,1825
DCA,1799
MSP,1798
IAH,1662
FLL,1616
SEA,1568
SLC,1518
SAN,1489
PHL,1362
BWI,1134
TPA,1129
DAL,1087
MDW,1064
OAK,996
MIA,983
HOU,954
RDU,888
BNA,864
SJC,837
STL,834
AUS,822
MSY,766
MCI,718
PDX,717
SMF,716
RSW,705
CLE,669
HNL,657
CVG,633
CMH,631
IAD,621
PIT,612
SNA,593
PBI,592
IND,581
SAT,519
BUR,461
BDL,453
LGB,451
SJU,442
MKE,424
RIC,407
BUF,383
JAX,380
ABQ,366
TUS,355
RNO,340
ONT,336
OGG,318
SFB,315
MEM,314
OMA,304
ORF,301
CHS,285
SDF,273
OKC,264
TUL,259
PVD,257
BHM,245
ALB,243
GRR,232
BOI,229
PSP,226
TYS,224
ELP,219
SYR,214
ASE,203
HPN,201
ANC,195
DSM,193
ROC,191
DAY,190
KOA,187
MHT,178
XNA,171
GSO,170
SAV,158
GSP,155
PWM,155
BTV,153
CAK,152
LIH,150
LIT,140
GEG,139
MSN,138
AZA,137
LEX,133
PIE,132
COS,128
PGD,125
FAT,124
ISP,118
CHA,116
CID,114
FWA,113
MYR,113
HSV,106
ICT,106
AVL,98
PNS,97
SBA,95
MAF,94
SBN,94
ILM,93
SHV,91
LBB,87
SGF,87
VPS,87
CHO,84
BTR,83
TLH,81
SRQ,80
EGE,79
MOB,77
MGM,74
PIA,71
AGS,70
CRP,70
SBP,70
FAR,69
MLI,69
ITO,68
FSD,67
BGR,66
CAE,66
AMA,65
EYW,64
CRW,62
EUG,61
GNV,61
ABE,60
OAJ,60
JAN,59
FAY,59
JAC,58
GPT,57
MDT,57
AVP,54
BZN,54
RAP,54
ACY,52
MFE,50
RST,50
ROA,49
ECP,48
EVV,48
MFR,48
PHF,48
MLB,47
MRY,46
FNT,45
GRB,45
AEX,44
ATW,44
LAN,44
TOL,44
BIL,43
BIS,43
BMI,43
DAB,43
FAI,43
HRL,43
SWF,43
TRI,42
HDN,41
RDM,41
BQN,39
SGU,37
DRO,36
JNU,36
PSC,35
STT,35
MBS,34
SCK,33
TVC,33
CWA,32
FSM,31
LFT,31
LRD,31
MLU,31
TTN,31
ABI,29
AZO,29
DLH,29
EWN,29
MTJ,28
BLI,27
LCK,27
BFL,25
BLV,24
GFK,24
SPI,24
LNK,23
PSE,23
DHN,22
IDA,22
LSE,22
GRK,21
ITH,21
MSO,21
SCE,21
CLL,20
GUM,20
STX,20
FCA,19
LYH,19
MHK,19
BRO,18
CKB,18
CMI,18
CSG,18
IAG,18
LBE,18
PBG,18
BGM,17
ROW,17
TYR,17
USA,17
ACV,16
BQK,16
COD,16
GJT,16
GTF,16
GTR,16
UIN,16
ACT,15
ISN,15
KTN,15
MOT,15
ORH,15
SUN,14
COU,14
ERI,14
MEI,14
MQT,14
PUB,14
SJT,14
FLG,13
LAW,13
SAF,13
TWF,13
VLD,13
CDC,12
HVN,12
RFD,12
ABY,11
HLN,11
LCH,11
OME,11
OTH,11
PIB,11
PIH,11
STS,11
TXK,11
CMX,10
LBF,10
RDD,10
BFF,9
FLO,9
GRI,9
SIT,9
BPT,8
CDV,8
ELM,8
JLN,8
PAH,8
PLN,8
PVU,8
SCC,8
SPS,8
SUX,8
SWO,8
YAK,8
YUM,8
APN,7
BET,7
CGI,7
DBQ,7
EAU,7
GCC,7
GUC,7
HOB,7
INL,7
JMS,7
LBL,7
LWS,7
BRD,6
CIU,6
DVL,6
MMH,6
ALO,5
BTM,5
ESC,5
GGG,5
LAR,5
MKG,5
PSG,5
PSM,5
RKS,5
WRG,5
ABR,4
ADQ,4
BJI,4
BRW,4
CPR,4
EKO,4
GCK,4
HGR,4
HTS,4
HYS,4
ADK,3
HIB,3
IMT,3
OTZ,3
RHI,3
STC,3
OGD,1
OGS,1
OWB,1
PPG,1
SMX,1
